values	8000000
bytes	32000000
compression	ZSTD
java	Java 25 (Eclipse Adoptium)
hardwood	1.1.0-SNAPSHOT (1ad9b7a)
machine	AWS m7i.2xlarge (8 vCPU / 4 physical cores)
