pass	benchmark	contender	ms_per_op	m_rows_per_s	mb_per_s
unpinned	FixedSizeListScanBenchmark	columnBaseline[3]	506.387	-	-
unpinned	FixedSizeListScanBenchmark	columnBaseline[768]	301.486	-	-
unpinned	FixedSizeListScanBenchmark	columnFast[3]	201.139	-	-
unpinned	FixedSizeListScanBenchmark	columnFast[768]	162.221	-	-
unpinned	FixedSizeListScanBenchmark	flatFloor[3]	163.805	-	-
unpinned	FixedSizeListScanBenchmark	flatFloor[768]	164.036	-	-
unpinned	FixedSizeListScanBenchmark	rowBaseline[3]	766.853	-	-
unpinned	FixedSizeListScanBenchmark	rowBaseline[768]	610.330	-	-
unpinned	FixedSizeListScanBenchmark	rowFast[3]	703.525	-	-
unpinned	FixedSizeListScanBenchmark	rowFast[768]	165.283	-	-
